Ref,Questions,A,B,C,D,Answer,Comment
PaedsTB0265,What is the definition of 'Significant TB Exposure' according to the guideline?, Exposure for at least 1 night or frequent daytime periods to a TB source patient within the last 3 months., Exposure within 12 months to a TB source patient who started treatment >3 months ago., Any exposure to a TB source patient within the last 6 months., Exposure within 12 months to a TB source patient in the same enclosed space for ƒ? 1 night or frequent daytime periods during the three months before the source patient started TB treatment.,D,"Significant TB Exposure is defined as ""Exposure within the 12 months before the child/adolescent presents with presumed TB to a person (adult or adolescent) with pulmonary TB within the same enclosed space for ƒ? 1 night... or for frequent or extended daytime periods... during the three months before the source/index patient started TB treatment""[cite: 46]."
PaedsTB0266,"Which of the following is NOT one of the ""puzzle pieces"" used to construct a TB diagnosis in children and adolescents?", Patient history, Clinical examination, Socio-economic status, HIV status,C,"The 'puzzle pieces' include patient history, clinical examination, HIV status, CXR, and diagnostic testing[cite: 481]"
PaedsTB0267,A child is considered to have 'presumptive TB' when:?, The diagnosis of TB is bacteriologically confirmed., TB is considered a possible cause of illness based on symptoms or signs., The child has a positive TST result., The child has a history of significant TB exposure.,B,A child or adolescent is believed to have presumptive TB when TB is considered a possible cause of illness in those who present with symptoms or signs suggestive of TB[cite: 51].
PaedsTB0268,What is the most common form of TB in children in high TB incidence countries like South Africa?, Extrapulmonary TB (EPT, Miliary TB, Pulmonary TB (PT, TB meningitis,C,Pulmonary TB (PT is the most common form of TB in children[cite: 428].
PaedsTB0269,Which of the following is a reason why TB in children is more difficult to diagnose bacteriologically compared to adults?, Children typically have a higher bacillary load., Specimen collection is easier in children., Children have paucibacillary disease with fewer bacilli., The radiological picture is the same as in adults.,C,Younger children tend to have few detectable bacilli in their sputum/other respiratory specimens (paucibacillary disease) which makes detecting and confirming TB bacteriologically more difficult[cite: 429].
PaedsTB0270,According to the guideline the BCG vaccine is especially protective against which forms of TB?, Drug-resistant TB, Paucibacillary disease, Extrapulmonary TB, Severe forms of TB in infants and young children,D,The BCG vaccine is not fully protective against TB disease but is especially protective against severe forms of TB in infants and young children[cite: 434].
PaedsTB0271,What is the recommended intensive phase duration for the treatment of drug-susceptible TB in children?, 1 month, 2 months, 4 months, 6 months,B,The treatment consists of an intensive phase of 2 months[cite: 135].
PaedsTB0272,What is the recommended continuation phase duration for the treatment of non-severe PTB and/or cervical TB lymphadenitis if the child meets the eligibility criteria for treatment shortening?, 2 months, 4 months, 6 months, 10 months,A,In the patient with non-severe PTB and/or cervical TB lymphadenitis the continuation phase is two months provided the child meets the eligibility criteria for treatment shortening[cite: 137].
PaedsTB0273,What is the typical duration of the continuation phase for children with bone and joint TB?, 2 months, 4 months, 6 months, 10 months,D,In children with bone and joint TB the duration of the continuation phase is typically prolonged up to 10 months or even longer in specific circumstances[cite: 139].
PaedsTB0274,Which of the following is NOT a component of the comprehensive package of care for TB?, Providing anti-TB treatment., Identifying adult TB source patients., Providing psychosocial support., Prescribing antibiotics for all concurrent illnesses.,D,The components of a comprehensive package of care for TB include providing anti-TB treatment identifying adult TB source patients preventing and managing co-morbid illnesses and providing psychosocial support[cite: 82 83].
PaedsTB0275,What is the main reason for patients discontinuing medications as stated in the guideline?, Lack of patient education, Inadequate management of side effects and adverse events, Poor psychosocial support, High cost of medication,B,Inadequate management of side effects and adverse events is the main reason patients discontinue medications and one of the primary reasons for treatment failure
PaedsTB0276,Which of the following drugs is NOT listed as a potential cause of hepatotoxicity in children?, Isoniazid, Rifampicin, Pyrazinamide, Ethambutol,D,The most important adverse event on first-line medication is hepatotoxicity which can be caused by isoniazid rifampicin or pyrazinamide and very rarely by ethambutol[cite: 273]. which can be caused by isoniazid rifampicin or pyrazinamide and very rarely by ethambutol[cite: 273].
PaedsTB0277,When should bacteriological monitoring be re-evaluated for a child on TB treatment?, Every 2 weeks, If there is clinical deterioration or new exposure to a DR-TB source patient., Only at the end of treatment.," Never, as it is rarely implemented in children",B,Re-evaluating the bacteriological status of a child becomes a priority if there is clinical deterioration or if there is a new exposure to a source patient with DR-TB[cite: 270].
PaedsTB0278,For a child on a four or six-month regimen what is the management for a cumulative treatment interruption of less than one month?, Start the regimen over from the beginning., Add additional doses to the end of the relevant treatment phase., Switch to a different regimen., Stop treatment entirely.,B,For a cumulative interruption of less than 1 month add additional doses to the end of the relevant treatment phase[cite: 289].
PaedsTB0279,Which of the following statements about TB in children is correct?, They typically have a higher bacillary load than adults., They usually develop TB within 24 months of exposure., They may have a broad differential diagnosis for their symptoms., They do not require a Chest X-ray for diagnosis.,C,Symptoms in children may be vague and may have a broad differential diagnosis[cite: 438].
PaedsTB0280,What is the Ghon complex?, The combination of a parenchymal focus in the lung and the nearest mediastinal lymph node., The initial site of mycobacterial multiplication in the lung., The spread of TB bacilli via the lymphatic system., A form of extrapulmonary TB.,A,The Ghon complex is formed by the parenchymal focus in the lung and the nearest mediastinal lymph node[cite: 447].
PaedsTB0281,What are the risk factors for developing severe TB disease after exposure/infection in children?, Older age and being HIV negative.," Younger age, living with HIV, and/or having severe malnutrition", Being HIV positive but well-nourished., Being an adolescent with adult-type TB.,B,Being of younger age living with HIV or HIV exposure and/or having severe malnutrition are all risk factors for developing TB disease after TB exposure/infection[cite: 432]. living with HIV or HIV exposure and/or having severe malnutrition are all risk factors for developing TB disease after TB exposure/infection[cite: 432].
PaedsTB0282,Which of the following is a key update in the revised South African guidelines mentioned in the foreword?, A focus on increasing the number of TB notifications in adults., Practical guidance on treatment shortening for non-severe forms of TB in children and adolescents., The use of a new anti-TB drug not yet approved by the WHO., Exclusive reliance on bacteriological confirmation for diagnosis.,B,"One of the key updates is ""practical guidance on implementation of treatment shortening for non-severe forms of TB in children and adolescents""[cite: 6 7]."
PaedsTB0283,What is the recommended management for a child who deteriorates on TB treatment or has treatment failure?, Continue the current regimen for a longer duration., Refer the child to the next level of care for further assessment and management., Stop all anti-TB medication immediately., Switch to a different anti-TB regimen without further investigation.,B,Any child with persistent symptoms or who deteriorates on TB treatment should be referred to the next level of care for further assessment and management[cite: 285].
PaedsTB0284,Which of the following is NOT a routine monitoring test for children and adolescents on ART as per the guideline?, Weight and height, CD4 count, Liver function tests, Serum creatinine,C,Table 14 lists routine monitoring tests for children on ART as weight/height CD4 count VL creatinine FBC and electrolytes. Liver function tests are listed under a different heading (DILI)[cite: 13
PaedsTB0285,What is the minimum level of integration primary care facilities should provide for a mother-child pair on the same day?, Level 1: Integrated care in one consulting room., Level 2: Aligning visit schedules to attend the same facility on the same day., Level 3: All needed care in the same room by the same provider.," No integration is necessary,  as long as care is provided.",A,Primary care facilities should at a minimum provide Level 1 integration[cite: 258].
PaedsTB0286,Which of the following statements about adolescents with TB is true?, They typically have paucibacillary disease., Bacteriological confirmation is less likely than in younger children., Their presentation and diagnostic approach are similar to adults., They are not at risk for extrapulmonary TB.,C,The presentation of and approach to diagnosing PTB in adolescents (10-19 years) is similar to that for adults[cite: 435].
PaedsTB0287,Which two drug classes have significant drug interactions with rifampicin that reduce their blood concentrations?, NSAIDs and Paracetamol, Antihistamines and Beta-blockers, Antiretroviral drugs and oral contraceptives, Antiretroviral drugs and oral hypoglycaemic agents,C,Rifampicin has significant drug interactions with antiretroviral drugs that reduce ART concentrations in the blood and adolescents should be provided with contraception as appropriate due to these drug interactions[cite: 102 118].
PaedsTB0288,According to the guidelines when should a decision to start TB treatment NOT be delayed?," When a TST is positive,  but other tests are pending."," When a TST is positive,  but other tests are pending.", When the child is over 10 years of age and clinically stable., When a social worker has not yet completed the home visit.,A,"A decision to start TB treatment should not be delayed if the necessary investigations are not available, particularly in children at higher risk of developing severe disease, such as young children, malnourished children or those living with HIV[cite: 75].A decision to start TB treatment should not be delayed if the necessary investigations are not available, particularly in children at higher risk of developing severe disease, such as young children, malnourished children or those living with HIV[cite: 75]."
PaedsTB0289,What is a key difference between TB in children and adults?, Children have a higher risk of poor outcomes if treated early., The pathophysiology and clinical picture are identical., Children have very good outcomes if started on appropriate treatment timeously., Specimen collection is easier in children.,C,Children have very good outcomes if started on appropriate treatment timeously but the highest risk of poor outcomes if not treated[cite: 439].
PaedsTB0290,In the pathophysiology of TB what is the term for the initial parenchymal focus in the lung?, The Ghon complex, The primary focus or Ghon focus, The mediastinal lymph node, The pleural effusion,B,The initial parenchymal focus in the lung is called the primary focus or Ghon focus[cite: 446].
PaedsTB0291,Which of the following is a symptom of Pulmonary TB (PT listed in the document?, Diarrhoea, Persistent cough, Joint pain, Skin rash,B,Table 2 lists persistent cough (>2 weeks) as a symptom of Pulmonary TB[cite: 3].
PaedsTB0292,According to the guideline what is the recommended management of a child with miliary tuberculosis?," Treatment is not delayed,  and the drug regimen is the same as for TBM.", Treatment is delayed until bacteriological confirmation is obtained., The drug regimen is the same as for non-severe PTB., Corticosteroids are contraindicated.,A,Treatment should not be delayed while waiting for results; the anti-tuberculosis drug regimen is the same as for TBM[cite: 174].
PaedsTB0293,What is the recommended approach to breastfeeding for a mother being treated for TB?, Breastfeeding is not recommended., Breastfeeding should be stopped., Breastfeeding should be encouraged for all mothers still able to breastfeed., Breastfeeding is only recommended for mothers with non-severe TB.,C,Breastfeeding should be encouraged for all mothers still able to breastfeed[cite: 117].
PaedsTB0294,What is the definition of a 'clinical diagnosis of TB'?, A diagnosis confirmed by a positive culture result.," A diagnosis based on history,  clinical findings,  and/or radiological features.", A diagnosis made when all bacteriological tests are positive., A diagnosis made only in the absence of radiological features.,B,"A diagnosis made on the grounds of history, clinical findings, radiological features, exposure history, growth trend, or a combination of the above, and where bacteriological tests were either not performed or the results were negative[cite: 52]."
PaedsTB0295,When should a child with a known TB exposure be considered for TB preventive treatment (TPT)?, When they have no symptoms and no radiological changes on CXR., Only if they are also living with HIV., Never, as TPT is not part of the guideline.,B,Children with no symptoms and no radiological changes on CXR are classified as having TB infection (previously termed ƒ??latentƒ?? T and should be considered for TB preventive treatment (TPT)[cite: 449 450].
PaedsTB0296,In the context of the TB/HIV co-infected patient the guideline states that TB cannot be treated without also treating HIV. What is the reciprocal statement?, HIV can be treated without also treating TB., HIV cannot be treated without also treating TB., ART must be stopped during TB treatment., TB treatment must be delayed until ART is started.,B,"The guideline explicitly states: ""In a TB/HIV co-infected patient TB cannot be treated without also treating HIV and HIV cannot be treated without also treating TB!""[cite: 104]."
PaedsTB0297,Which of the following is a danger sign in a child with TB needing urgent attention?, Persistent cough for >2 weeks, Loss of appetite, Convulsions, Failure to thrive,C,Box 1 lists convulsions as a danger sign needing urgent attention[cite: 11].
PaedsTB0298,What is the recommended medication for supplemental pyridoxine?, Vitamin D, Pyridoxine, Zinc, Iron,B,"Section 9.2 is titled ""Supplemental pyridoxine"" and lists the drug name[cite: 43]."
PaedsTB0299,According to the guideline which of the following is NOT a reason for the link between TB and malnutrition?," Malnutrition reduces cell-mediated immunity,  increasing the risk of TB disease.", The catabolic effect of TB disease results in weight loss., Malnutrition makes TB treatment drugs less effective., TB disease worsens malnutrition.,C,Box 5 lists malnutrition's effect on immunity and the catabolic effect of TB disease as reasons for the link between TB and malnutrition[cite: 119].
PaedsTB0300,When should the BCG vaccine be repeated in an infant who initiated TPT or TB treatment in the first 6 weeks of life?, After completion of TPT or TB treatment," Never,  as it is a one-time vaccine.", Before TPT or TB treatment is started.," At 6 months of age,  regardless of treatment completion.",A,BCG should be repeated after completion of TPT or TB treatment[cite: 219].
PaedsTB0301,What is the recommended TB drug regimen for a child under three months of age weighing less than 3 kg given the challenges with ethambutol administration?, Isoniazid and Rifampicin," Isoniazid, Rifampicin, Pyrazinamide and Ethambutol"," Isoniazid, Rifampicin, Pyrazinamide and Ethionamide", The regimen should be delayed until the child is older.,C,"...ethionamide can be considered in infants younger than three months or weighing < 3kg, given the challenges with ethambutol administration and monitoring for ocular toxicity in the very young[cite: 135]."
PaedsTB0302,In children with presumed or confirmed DS-TBM what is the recommended management for hyponatremia?, Restrict fluid intake, Encourage fluid intake, Administer IV fluids, Administer oral salt tablets,A,Table 10 recommends restricting fluids for hyponatremia due to SIADH[cite: 16].
PaedsTB0303,What is the recommended approach to Tuberculin Skin Test (TST) in the diagnostic process?, It is the first and only test needed., It is only useful if there is no known TB exposure., It is used to confirm bacteriological diagnosis., It is a replacement for the chest X-ray.,B,The TST is only useful if no known TB exposure[cite: 62].
PaedsTB0304,Which of the following is NOT a routine TB programme activity that should be completed for monitoring and evaluation purposes?, Recording and reporting, Bacteriological monitoring, Identifying adult TB source patients, Assessing post-TB health,B,Bacteriological monitoring is a part of patient monitoring but recording reporting identifying source patients and assessing post-TB health are listed as routine programme activities[cite: 83].
PaedsTB0305,According to the guideline which of the following statements about drug adverse events in children is true?, They are more common in children than in adults.," Hepatotoxicity is rare,  occurring in less than 5% of children on first-line medication.", Hepatotoxicity is most likely to occur after 6 months of treatment., All adverse events require hospitalisation.,B,"Adverse events caused by TB medications are less common in children than in adults and ""Hepatotoxicity... are rare (5% or lower) in children""[cite: 272 274]. 274]."
PaedsTB0306,The guideline suggests that for adolescents the approach to diagnosing PTB is similar to that of adults. What is a key reason for this similarity?, They have paucibacillary disease., They are less likely to have EPTB., Bacteriological confirmation is more likely., They are not at risk for severe TB.,C,Bacteriological confirmation is more likely in adolescents who often have adult-type (cavitary) PTB disease[cite: 436].
PaedsTB0307,Which of the following is a common Chest X-ray feature in perinatal TB?, Cavities, Pleural effusion, Miliary infiltrates, Normal chest x-ray,C,Table 12 lists miliary infiltrates as a common Chest X-ray feature occurring in 30-40% of cases[cite: 190].
PaedsTB0308,What is the recommended initial TB treatment regimen for a child with presumed or confirmed DS-TBM?," A 4-drug intensive phase for 2 months,  followed by a 2-drug continuation phase for 4 months."," A 4-drug intensive phase for 2 months,  followed by a 2-drug continuation phase for 7 months."," A 4-drug intensive phase for 2 months,  followed by a 2-drug continuation phase for 10 months.", The guideline defers to a specialist.,A,Table 9 on page 45 shows a 2 month intensive phase and a 10 month continuation phase[cite: 1718 19]. shows a 2 month intensive phase and a 10 month continuation phase[cite: 17
PaedsTB0309,What is the main reason for the increased risk of disengagement and loss-to-follow-up (LTF) in TB management?, Inadequate psychosocial support., Failure to combine care into an integrated package., High cost of treatment., Lack of patient education.,B,Failure to combine care leads to increased visit schedules and significantly increases the risk of disengagement and loss-to-follow-up (LTF)[cite: 88].
PaedsTB0310,When should a healthcare professional seek immediate care for a child on TB treatment?, If the child has a persistent cough.," If the child develops jaundice,  abdominal pain or vomiting.", If the child has a mild fever., If the child has a loss of appetite.,B,The guideline instructs to seek immediate care if the child develops jaundice abdominal pain or vomiting[cite: 125].
PaedsTB0311,What is the primary role of the Road to Health Booklet (RTH in TB management?, To serve as a legal document for TB treatment., To provide a list of all TB drugs., To document all relevant information regarding the child's TB diagnosis and treatment., To replace the TB treatment register.,C,It is important to always take the RTHB along for any healthcare visits as it documents all relevant information regarding the child's TB diagnosis and treatment[cite: 128 129].
PaedsTB0312,Which of the following is a consideration for TB treatment in co-infected children?, They are considered to have non-severe HIV disease., They are at a lower risk of developing severe disease., They are at the highest risk of death if not treated., They can be treated without also treating HIV.,C,CALHIV and TB are at the highest risk of death if not treated[cite: 100].
PaedsTB0313,Which of the following tests should NOT be used to monitor response to treatment?, Smear microscopy, Culture, NAAT testing, Clinical examination,C,NAAT testing should NOT be used to monitor response to treatment[cite: 269].
PaedsTB0314,In the management of a newborn exposed to TB when should the infant be separated from the mother for infection control?, If the mother is known to be contagious., For the first 24 hours after birth., When the infant develops symptoms of TB.," Separation is not recommended,  even if the mother is still contagious.",D,It is not recommended that infants be separated from their mothers after birth even if the mother is known to still be contagious[cite: 200].
PaedsTB0315,Which of the following is a definition of bacteriologically confirmed TB?, Diagnosis based on a positive TST and CXR., Diagnosis confirmed by clinical findings and exposure history.," Diagnosis confirmed using genotypic testing (TB-NAAT),  mycobacterial culture,  and/or smear microscopy.", Diagnosis made in the absence of bacteriological tests.,C,Bacteriologically confirmed TB is when the diagnosis of TB disease is confirmed using genotypic testing (TB-NAAT) mycobacterial culture and/or smear microscopy for acid-fast bacilli (AF[cite: 53].
PaedsTB0316,Which type of TB is defined as involving organs other than the lungs airways and intrathoracic lymph nodes?, Pulmonary TB, Miliary TB, Drug-susceptible TB, Extrapulmonary TB,D,"Extrapulmonary TB is defined as ""any bacteriologically confirmed or clinically diagnosed patient with TB involving organs other than the lungs airways and intrathoracic lymph nodes""[cite: 55]."
PaedsTB0317,In adolescents which type of TB disease is most likely to be bacteriologically confirmed?, Paucibacillary disease, Adult-type (cavitary) PTB disease, Extrapulmonary TB, TB infection,B,Bacteriological confirmation is more likely in adolescents who often have adult-type (cavitary) PTB disease[cite: 436].
PaedsTB0318,What is the typical duration of the intensive phase for all children and adolescents with DS-TB (excluding TBM other forms of CNS TB and miliary T?, 1 month, 2 months, 4 months, 6 months,B,All children and adolescents with DS-TB (excluding TBM other forms of CNS TB and miliary T will initiate the same intensive phase of TB treatment using four anti-TB medications. The duration is 2 months[cite: 136 137].
PaedsTB0319,What is the recommended management of a child with Tuberculoma?, Anti-tuberculosis therapy is the same as for TBM., Corticosteroids are not recommended., A different regimen from TBM is used., Treatment is only required if neurological symptoms are present.,A,Anti-tuberculosis therapy is the same as for TBM. Prednisone is also recommended[cite: 167 169].
PaedsTB0320,Which of the following is NOT a factor that influences the timing of ART initiation in a TB/HIV co-infected patient?, The specific antiretroviral drug selection., The patient's age and weight., Drug interactions with rifampicin., Adherence due to increased pill burden.,B,The timing of ART initiation is affected by antiretroviral drug selection drug interactions with rifampicin adherence due to increased pill burden and side effects due to overlapping toxicities[cite: 101102 103].
PaedsTB0321,What is a key difference in TB management between children and adults as stated in the guideline?, Treatment is always the same for both age groups., Children may have more rapid disease progression., Adults have better treatment outcomes., Diagnosis is easier in children.,B,CALHIV may have more rapid TB disease progression and are at higher risk of developing severe disease[cite: 99].
PaedsTB0322,What is the recommended drug regimen for the intensive phase of treatment for perinatal TB?, Isoniazid and Rifampicin," Isoniazid, Rifampicin, Pyrazinamide,  and Ethambutol or Ethionamide"," Isoniazid, Rifampicin, and Pyrazinamide", Ethionamide and Rifampicin,B,The intensive phase consists of four drugs: isoniazid rifampicin and pyrazinamide and a fourth drug: either ethambutol or ethionamide[cite: 191].
PaedsTB0323,What is the purpose of the clinical treatment decision algorithm mentioned in the foreword?, To replace clinical judgement completely., To enable and support clinicians at the primary health care level to start TB treatment., To be used only at the tertiary level of care., To determine which patients are eligible for surgery.,B,"The clinical treatment decision algorithm is intended ""to enable and support clinicians at the primary health care level to start TB treatment""[cite: 7]."
PaedsTB0324,What is the reason given for replacing the term 'latent TB' with 'TB infection' in children?, Children are mostly recently infected., The term 'latent' is considered outdated., 'TB infection' is a more accurate term for all age groups., The term 'latent' is only used for adults.,A,The term ƒ??latent TBƒ? has been replaced by the term ƒ??TB infectionƒ? as children are mostly recently infected[cite: 49].
PaedsTB0325,What is the main purpose of the SHINE trial mentioned in Annexure 4?, To study drug-resistant TB in adults., To assess the efficacy of treatment shortening in children with non-severe TB., To find a new drug for TB treatment., To compare different diagnostic tests for TB.,B,SHINE was a multi-centre phase 3 open-label treatment-shortening non-inferiority trial in children with non-severe symptomatic smear-negative presumed drug-susceptible (DS)-TB[cite: 312].
PaedsTB0326,Which of the following is a correct statement about a child with TB who is on ART?, ART is not needed if the child is already on TB treatment., ART should be stopped during TB treatment.," The child should be on ART, clinically well, and have a CD4% > 25 to receive a BCG", The BCG vaccine can be given at any time regardless of CD4,C,If the infant is also LHIV they should be on ART clinically well and have a CD4 > 25% to be able to receive BCG[cite: 219]. clinically well
PaedsTB0327,What is the recommended management of a child with spinal arachnoiditis identified on an MRI?, It should be managed as TBM., It should be managed with anti-inflammatory drugs only., No treatment is necessary unless there is bone disease., The regimen should be the same as for non-severe PTB.,A,If this is identified on an MRI it should be managed as TBM[cite: 171].
PaedsTB0328,According to the guideline what is the role of Chest X-rays in TB diagnosis?, It is the only puzzle piece needed for diagnosis.," It is a puzzle piece if available,  but not always required to start treatment.", It replaces the need for diagnostic testing., It is only useful in adolescents.,B,The CXR is a puzzle piece used to construct a TB diagnosis if it is available[cite: 483 492]. A decision to start treatment should not be delayed if necessary investigations like a CXR are not available particularly in high-risk children[cite: 75].
PaedsTB0329,What is the recommended waiting period after the last anti-TB treatment dose before an infant can receive the BCG vaccine?, 24 hours, 5 days, 2 months, 6 months,A,BCG vaccination should be done 24 hours after the last anti-TB treatment dose[cite: 223].
PaedsTB0330,What is the recommended use of corticosteroids in children with miliary tuberculosis?, They are not recommended., They are recommended for all children with miliary tuberculosis., They are only recommended if there are neurological features., Their use is not mentioned in the guideline.,B,The use of prednisone in all children with miliary tuberculosis is recommended[cite: 176].
PaedsTB0331,"What are the components of the intensive phase of treatment for drug-susceptible PTB and EPTB (excluding TBM,  other forms of CNS TB and miliary T?","Isoniazid and Rifampicin, Pyrazinamide, Levofloxacin", Isoniazid and Rifampicin," Isoniazid, Rifampicin, Pyrazinamide,  and Ethambutol"," Isoniazid, Rifampicin, Pyrazinamide,  and Ethambutol or Ethionamide",D,The intensive phase consists of 4 drugs: isoniazid rifampicin and pyrazinamide and a fourth drug which is either ethambutol or ethionamide[cite: 135].
PaedsTB0332,Which of the following is NOT a reason for providing patient education to a child/adolescent and their family?, To empower the patient/caregiver, To alleviate fear and anxiety, To increase the cost of treatment, To improve adherence,C,The guideline states that patient education is aimed at an informed and empowered patient/caregiver who is less fearful and this results in better treatment outcomes[cite: 123].
PaedsTB0333,What is the definition of Pulmonary Tuberculosis (PT?, TB involving only the lung tissue.," TB involving the lung tissue, airways or draining lymph nodes", TB involving only the intrathoracic lymph nodes., TB involving organs other than the lungs.,B,Pulmonary tuberculosis (PT refers to TB involving the lung tissue airways or draining lymph nodes[cite: 54]. airways or draining lymph nodes[cite: 54].
PaedsTB0334,What is the recommended duration of the continuation phase for a child with severe PTB and most EPTB?, 2 months, 4 months, 6 months, 10 months,B,For severe PTB and most EPTB the continuation phase duration is 4 months[cite: 142].
PaedsTB0335,What is the purpose of U-LAM testing in children living with HIV (CLHIV)?, To test for drug resistance., To assess for drug-susceptible TB., To diagnose advanced HIV disease., The guideline does not mention U-LAM.,B,U-LAM is listed under 'Special investigations' in Figure 2 in the box for assessing for TB infection or TB disease[cite: 62].
PaedsTB0336,Which of the following is a definition of a drug-susceptible TB (DS-T?, M.tb strains that are resistant to first-line agents., M.tb strains that are susceptible to first-line agents rifampicin and isoniazid., Any patient with TB involving organs other than the lungs., The form of TB that requires the longest treatment regimen.,B,Drug-susceptible TB (DS-T is defined as M.tb strains that are susceptible to the first-line agents rifampicin and isoniazid[cite: 56].
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
,Check QUestion,,,,,,
